MetaData
Device name,Address,Record name,Start,End,Logging frequency,Ringbuffer frequency
1-01107,EA:5E:A0:E1:13:3F,,24.10.2025 16:14:56,24.10.2025 16:17:17,10.0,-
Sensor-id,0,1,2,3
Description,Ch1,Ch2,Ch3,Ch4
Unit,mA,mA,mA,mA
App version,6.3.0
App hash,appInfoView.commitShaUnknown
Firmware version,6.2.0
Firmware hash,6e2bd86
Phone model,SM-A528B
Phone OS,14




Sensordata
Time in ms,Ch1  in  mA,Ch2  in  mA,Ch3  in  mA,Ch4  in  mA,
15200,0.10697298586592296,7.6698140891403455,5.301688170452508,4.010418855748412,
15300,0.1104483961803453,7.669297085953076,5.298575380429156,4.008444190797036,
15400,0.10873223282260369,7.6683923303753545,5.2997027346013965,4.011039977633118,
15500,0.11413563418955164,7.669343759851927,5.2994729554070545,4.011057929132676,
15600,0.10454953342559747,7.671946727287832,5.298815930523233,4.009618218868127,
15700,0.10827267443391975,7.668281031078095,5.299781721199452,4.007898465210474,
15800,0.11386636169618214,7.667735305491533,5.297965029444185,4.010573238644611,
15900,0.11342116450714457,7.67164873239517,5.302614467829699,4.012659202893246,
16000,0.10220865788323863,7.668248718378891,5.301487113657458,4.000965596081187,
16100,0.11763976690326672,7.667685041292771,5.30133273076126,3.995702216410791,
16200,0.10788133174355607,7.669763824941583,5.300646983478146,3.9926540517858484,
16300,0.10261436177324867,7.669972062336456,5.300313085586367,4.008347252699423,
16400,0.11030478418388157,7.667451671798517,5.298586151328891,4.006975758133194,
16500,0.10332165085583256,7.670144396732212,5.297408532957888,4.006767520738322,
16600,0.11176603624790005,7.667839424188969,5.297756792049313,4.005309858974215,
16700,0.11323087861183012,7.668611338669962,5.304998426970997,4.00687522973567,
16800,0.10153009119994749,7.673562362248049,5.302668322328373,4.005898668159716,
16900,0.11159729215205516,7.672855073165465,5.300266411687517,4.006455164646013,
17000,0.10963339810041361,7.669979242936279,5.298324059435345,4.004620521391189,
17100,0.10603232728908552,7.672564258872626,5.298751305124824,4.006232566051494,
17200,0.10375607714513535,7.670862456714531,5.3005679968800905,4.006886000635404,
17300,0.10444900502807286,7.666740792416022,5.301795879449855,4.007356329923823,
17400,0.10860657232569793,7.6674301299990475,5.302223125139335,4.004318936198615,
17500,0.10528195460756251,7.6718749212896,5.297860910746749,4.009524871070425,
17600,0.1070088888650389,7.667221892604175,5.302987859020504,4.007051154431338,
17700,0.10978419069670053,7.6686041580701385,5.30351922340742,4.00588430696007,
17800,0.103838654043102,7.668754950666425,5.302431362534207,4.00707987683063,
17900,0.11467058887637904,7.671167632207016,5.2979111749455114,4.003683453114263,
18000,0.0977602762927745,7.669052945559088,5.30043156548345,3.999834651609035,
18100,0.1096980234988223,7.671824657090838,5.30074751187567,4.001676475463682,
18200,0.10187116969154886,7.672636064870858,5.299174960514392,4.001360529071462,
18300,0.11225790733578833,7.670481884923902,5.299458594207408,4.0081031123054345,
18400,0.11412127298990526,7.666755153615668,5.299889430196799,4.011154867230289,
18500,0.11521272416302963,7.668981139560856,5.301461981558077,4.005618624766612,
18600,0.10310264256122537,7.666058635432819,5.303016581419797,4.009449474772282,
18700,0.10250665277590087,7.669979242936279,5.3013004180620555,4.00782306891233,
18800,0.11299391881766496,7.668482087873144,5.302772441025809,4.002218610750333,
18900,0.10025553473133186,7.669943339937163,5.298657957327123,4.010002380958667,
19000,0.10848809242861535,7.6664679296227405,5.300916255971515,4.0112015411291395,
19100,0.10968725259908751,7.667843014488881,5.301914359346938,4.006440803446367,
19200,0.11191323854427537,7.666392533324597,5.301257334463116,4.004401513096582,
19300,0.10294466936511526,7.672908927664139,5.299307801611121,4.0027356139376025,
19400,0.10105976191152877,7.670485475223813,5.30223389603907,4.001863171059085,
19500,0.11482138147266596,7.670489065523725,5.301375814360199,3.996585430189043,
19600,0.11066740447495249,7.66655768712053,5.298571790129245,4.000714275087375,
19700,0.09845679447562361,7.668794443965453,5.302072332543048,4.00122050737491,
19800,0.11110901136407847,7.673641348846104,5.299329343410591,4.014468714048689,
19900,0.1028728633668834,7.673792141442391,5.302004116844728,4.017168619582208,
20000,0.10170601589561556,7.667516297196926,5.296722785674774,4.033605012577482,
20100,0.10912357551296736,7.668108696682339,5.298704631225974,4.04412459131845,
